MOLECULE_ID;SMILES;CELL_LINE;TEST_TYPE;RACEMAT;R;S;RR;SS;RS;SR;CIS;TRANS;INDOLE;IC50;Source;Reference
US202311795164B1_80;C[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CC(=CN=C2)F)C3=CC=C(C=C3)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;27.1;patent;US202311795164B1
US202311795164B1_81;C[C@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CC(=CN=C2)F)C3=CC=C(C=C3)Cl;0;Luminescence;0;1;0;0;0;0;0;0;0;0;106;patent;US202311795164B1
US202311795164B1_82;CC(C)(CNC(=O)C1=CC(=NN(C1=O)C2=CC(=CN=C2)F)C3=CC=C(C=C3)Cl)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;37.6;patent;US202311795164B1
US202311795164B1_83;CC(C)[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CC(=CN=C2)F)C3=CC=C(C=C3)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;4.61;patent;US202311795164B1
US202311795164B1_84;C1=CC(=CC=C1C2=NN(C(=O)C(=C2)C(=O)NC(CO)CO)C3=CC(=CN=C3)F)Cl;0;Luminescence;1;0;0;0;0;0;0;0;0;0;163;patent;US202311795164B1
US202311795164B1_85;COC[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CC(=CN=C2)F)C3=CC=C(C=C3)Cl;0;Luminescence;0;1;0;0;0;0;0;0;0;0;36;patent;US202311795164B1
US202311795164B1_86;COC[C@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CC(=CN=C2)F)C3=CC=C(C=C3)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;55.9;patent;US202311795164B1
US202311795164B1_93;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N[C@H](CO)CF;0;Luminescence;0;0;1;0;0;0;0;0;0;0;24.8;patent;US202311795164B1
US202311795164B1_94;C1CC1[C@@H](CO)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)(F)F;0;Luminescence;0;1;0;0;0;0;0;0;0;0;8.44;patent;US202311795164B1
US202311795164B1_95;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N[C@@H](CO)C(F)(F)F;0;Luminescence;0;0;1;0;0;0;0;0;0;0;62.3;patent;US202311795164B1
US202311795164B1_96;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)N[C@H](CO)C(F)(F)F;0;Luminescence;0;1;0;0;0;0;0;0;0;0;3.67;patent;US202311795164B1
US202311795164B1_97;C1CC1C(CO)NC(=O)C2=CC(=NN(C2=O)C3=CC(=CN=C3)F)C4=CC=C(C=C4)Cl;0;Luminescence;1;0;0;0;0;0;0;0;0;0;7.06;patent;US202311795164B1
US202311795164B1_98;C1=CC(=CC=C1C2=NN(C(=O)C(=C2)C(=O)NC[C@H](CO)O)C3=CC(=CN=C3)F)Cl;0;Luminescence;0;1;0;0;0;0;0;0;0;0;251;patent;US202311795164B1
US202311795164B1_99;C1=CC(=CC=C1C2=NN(C(=O)C(=C2)C(=O)NC[C@@H](CO)O)C3=CC(=CN=C3)F)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;129;patent;US202311795164B1
US202311795164B1_100;C1=CC(=CC=C1C2=NN(C(=O)C(=C2)C(=O)N[C@H](CO)C(F)(F)F)C3=CC(=CN=C3)F)Cl;0;Luminescence;0;1;0;0;0;0;0;0;0;0;12.7;patent;US202311795164B1
US202311795164B1_101;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)(F)F)C(=O)NCC(C(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;9.54;patent;US202311795164B1
US202311795164B1_102;C1C[C@@H]([C@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)(F)F;0;Luminescence;0;0;0;0;1;0;0;0;0;0;1.88;patent;US202311795164B1
US202311795164B1_103;C1C[C@H]([C@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)(F)F;0;Luminescence;0;0;0;0;0;1;0;0;0;0;13.3;patent;US202311795164B1
US202311795164B1_104;C1C[C@H]([C@@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)(F)F;0;Luminescence;0;0;0;1;0;0;0;0;0;0;20.2;patent;US202311795164B1
US202311795164B1_105;C1C[C@@H]([C@@H](C1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)(F)F;0;Luminescence;0;0;0;0;0;0;1;0;0;0;2.37;patent;US202311795164B1
US202311795164B1_107;C1[C@H]([C@H](CO1)O)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)(F)F;0;Luminescence;1;0;0;0;0;0;0;0;0;0;12.3;patent;US202311795164B1
US202311795164B1_109;C1CC1C(CO)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)C(F)(F)F;0;Luminescence;1;0;0;0;0;0;0;0;0;0;1.63;patent;US202311795164B1
US202311795164B1_110;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)(F)F)C(=O)NC(CO)C(F)(F)F;0;Luminescence;1;0;0;0;0;0;0;0;0;0;3.31;patent;US202311795164B1
US202311795164B1_111;COC[C@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)C(F)(F)F;0;Luminescence;0;0;1;0;0;0;0;0;0;0;26.5;patent;US202311795164B1
US202311795164B1_112;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)(F)F)C(=O)N[C@H](CO)C(F)(F)F;0;Luminescence;0;1;0;0;0;0;0;0;0;0;1.15;patent;US202311795164B1
US202311795164B1_113;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)(F)F)C(=O)NC[C@H](CO)O;0;Luminescence;0;1;0;0;0;0;0;0;0;0;48.3;patent;US202311795164B1
US202311795164B1_114;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)(F)F)C(=O)NC[C@@H](CO)O;0;Luminescence;0;0;1;0;0;0;0;0;0;0;85.5;patent;US202311795164B1
US202311795164B1_115;CC(C)(CNC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)C(F)(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;2.63;patent;US202311795164B1
US202311795164B1_116;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)C(F)(F)F)C(=O)NC(CO)CO;0;Luminescence;1;0;0;0;0;0;0;0;0;0;115;patent;US202311795164B1
US202311795164B1_118;C[C@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)C(F)(F)F;0;Luminescence;0;1;0;0;0;0;0;0;0;0;45.1;patent;US202311795164B1
